id,msg
4zDZV-jGJ6w,ok
Zhq20aCSh-s,ok
jBnWZijMbMY,ok
n1O3uHPCOLA,ok
WKsJC1nuqVo,ok
J2eU4Ol3IDU,ok
OkzpwHodaAs,ok
KV-SUOpW408,ok
vTEi5FFxMuE,ok
-xtuczh5y68,ok
0vZvPtI5Uk8,ok
xl_H9zvMsOk,ok
vWdjqdmFHxw,ok
I2MfxX0N7dQ,ok
XBUq8q1Vwls,ok
Sv7NP9LMU4Q,ok
lyhTkX3e-U0,ok
8q8LsYbDCmM,ok
tXNuz8nXYGk,ok
HLY-7ZkhhLE,ok
6tCFtV0JBKQ,ok
IGS0JouUgjM,ok
PAnreKf_9BE,ok
8,video has no captions
ZrR0VbqNdW8,ok
GZv2yMhk1Cw,ok
bK0NdaDOsG0,ok
25Od-bcv6vM,ok
rBYd_O38Ncw,ok
5odneOsxNTw,ok
Z5zEocd3u9w,ok
8ti1quN-jKs,ok
iC1rvXPt_rE,ok
1ecLOK-b-1s,ok
D8SgdOGIEyU,ok
BsDkBaACINQ,ok
hMDwYiYIeRw,ok
nowFI0WRpO0,ok
3ELo1zykAGU,ok
2d6VmncdK-E,ok
rR4t9LRy-6o,ok
8a7L0bFuE3o,ok
dFh7tZoGYA4,ok
KbNRvWfndjA,ok
Zo7sRijXG00,ok
8iCWUvHMPxQ,ok
NMbMT9tY8-Q,ok
kf8XzD-xVGc,ok
LuXyLBeQ8-w,ok
4e7iksx-Zig,ok
pQmSrlIbULk,ok
r_yBqWHtWMo,ok
6EuzOQOnX2A,ok
H1xBwVgKJe8,ok
XJ79FPwav4g,ok
__qtH1ly2Sg,ok
NfrLH0T0rdU,ok
lMAVnI-2MIA,ok
MJoSs4BGaHI,ok
ihS8__strtM,ok
WS6_CeuSn_s,ok
KgNQ6ZrT4RQ,ok
tfn-LC254Hk,ok
mGSRakRS_J8,ok
MDL7DenDYCE,ok
TUh4Z2li1UM,ok
D_Y18GEjfNY,ok
-XUzpAiYuVA,ok
aTBhpS570JE,ok
-98r0kpLbIM,ok
jEL5i38GFd8,ok
02NINX8OD-A,ok
7vsW0Ut4gCo,ok
zGT45vVJNso,ok
e4mO7ImDKI8,ok
aGPqK_hHA28,ok
Il1Cy4tQCkk,ok
ah5G2EXKgvA,ok
MVdu-DYcfTA,ok
PwbgLteVwvs,ok
3e-f8iK5QLs,ok
mMle42fPNn0,ok
JGL2m6-SLMQ,ok
m6X5I_FI04A,ok
bWX0-NEjyNQ,ok
E1z55dYHv8c,ok
hIjdwDr9xA8,ok
7SpXCwU5AiI,video has no captions
sTntmGwbf_U,ok
M8DHsercsOM,ok
z4Bwb8_k7yM,ok
9c_Tn4dnGIU,ok
LcMYQtVchPA,ok
EcGgDrS5Gto,ok
WOMOVA9UMic,ok
fMUZkOX1Z1I,ok
M73XCOzZAU0,ok
5E_DIPttHuE,ok
6NOtF4l9i9g,ok
LyagMC0bokI,ok
JcLTe8MoAV4,ok
JSl2sRZvpSQ,ok
gAKW8RB6aeU,ok
ulVAMPwcCnc,ok
9Z7s35n3a5I,ok
OsY85e9uIMw,ok
r4HxTcF98MU,ok
55YUKZK7BXg,ok
aBMNzBhB6H0,ok
1pKv5XLe7K0,ok
snZyHoTYXrE,ok
w5K2ZoPVD5E,ok
g4EkzEKlGOA,ok
MNEVF-S90eE,ok
ghnXKzE4z7o,ok
ZYvDLT2BkQ8,ok
M-xGpnB9Pzg,ok
GbfUeneG0s8,ok
bTUUNZFOflw,ok
c7tMpaSOuz8,ok
s5SqsNPWYA4,ok
l7VRSINAEQo,ok
TsvrUr-fmLw,ok
C_hz9wzeBbY,ok
QeuNgmi1EjE,ok
hwKtoO3OmeU,ok
jpF0svYnC_w,ok
baZoJYAQjfI,ok
_QPPLacWr-4,ok
yr6ts2AH04g,ok
eoE-Um-r4kU,ok
LPo8_trCP8M,ok
PzZ7K0qJvTQ,ok
dWlStZlu6bY,ok
5nFQmUQvCHg,ok
D2wxZjJl4ew,ok
M558453kb9g,ok
d3ISyzfTBAc,ok
_JnTnkCm_n4,ok
dr3rMTxq3bA,ok
F_YNznQ35Tc,ok
eEbUClyP8kI,ok
MIgykdiVPZk,ok
r9IO8KCN_Rw,ok
dlATzLk8Nh8,ok
YPsRQ6O1gjA,ok
_4b_8iF8OeI,ok
aRWUMlLMF1c,ok
GH8Vdk0aAew,ok
ofbJfn_seYc,ok
2cAUXitY1Wg,ok
tQfKTsh5ycs,ok
iUT99TWDLnU,ok
PHheRDVn3e8,ok
SFuiyGuhbQU,ok
2,video has no captions
X3DUkE6cgUg,ok
ZqEqtmMY1M0,ok
KxJOGezJlF8,ok
hslA3B1t6So,ok
SJXf0wFQ4Aw,ok
Ni8BsXyln_Q,ok
IDkuwVvZpWM,ok
Oie4gg-oQ6g,ok
wpJvoIhlIWE,ok
FWHiAF5tQTI,ok
QXIqgNMQw2w,ok
PZ-QK-16WgA,ok
7fOY40FvF9Q,ok
1bY8url_TpM,ok
wq1gxK9m5hM,ok
eEUUlThWDE0,ok
TYNPLyxpmw4,ok
i00Wqb_bh5E,ok
uGT8DT____k,ok
HWfxj3KzA8o,ok
kFr6GxEnOJQ,ok
dUxzbnKKzf8,ok
vBX3EcUYMzU,ok
5kKMB890ABc,ok
f0fmS1WEm3s,ok
ekXaskhiLmI,ok
Y2cwkjOb1LE,ok
VzPJE4LUxC4,ok
4bCUULby80g,ok
GHwZqJYYB80,ok
ek5OogQFaAg,ok
D1sZtLbZhMA,ok
zWDWd2GswvE,ok
jeCk5e0YsF0,ok
u4SpZxD0RIw,ok
DAwamRa8m9Y,ok
qvNXPn4ptJM,ok
71jrAWaRc3E,ok
oJ8bRhyJLkk,ok
NMStHZrKun4,ok
Tj26Na3q2d8,ok
JiUsCTy8nEY,ok
OHYbpwRVe5E,ok
J16qIo_BrZI,ok
FvUpmMIhpAo,ok
j1KMaoQ_d2s,ok
wrweyL0YS8Y,ok
UBrF3Txsydw,ok
gCW1hVAebWU,ok
16K8nH07Cws,ok
U9wQtpxD54o,ok
NBPJ9Y_Dxko,ok
ApHZyGZgbvA,ok
BhqcprmntPY,ok
sRO4dsOEItY,ok
1vOBpRmp8v8,ok
2QljlPEwe98,ok
JkSNx5psHtg,ok
PGxk4oVcKQE,ok
6G6gDOZie_c,ok
